Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
1.2016E+12,NSW,8-Feb-16,8,February,2016,Monday,15:37,15,37,Multiple vehicle,No,Yes,No,70,Driver,Male,17
1.2016E+12,NSW,8-Feb-16,8,February,2016,Monday,10:10,10,10,Pedestrian,No,No,No,50,Pedestrian,Female,40
2.2016E+12,VIC,8-Feb-16,8,February,2016,Monday,17:10,17,10,Multiple vehicle,No,No,No,-9,Motorcycle rider,Male,44
2.2016E+12,VIC,8-Feb-16,8,February,2016,Monday,20:00,20,0,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,32
2.2016E+12,VIC,9-Feb-16,9,February,2016,Tuesday,8:15,8,15,Multiple vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Male,69
2.2016E+12,VIC,9-Feb-16,9,February,2016,Tuesday,6:05,6,5,Multiple vehicle,No,No,No,-9,Driver,Male,26
2.2016E+12,VIC,9-Feb-16,9,February,2016,Tuesday,15:45,15,45,Multiple vehicle,No,No,No,60,Bicyclist (includes pillion passengers),Male,74
2.2016E+12,VIC,9-Feb-16,9,February,2016,Tuesday,22:15,22,15,Single vehicle,No,No,No,60,Motorcycle rider,Male,45
3.2016E+12,QLD,9-Feb-16,9,February,2016,Tuesday,15:00,15,0,Multiple vehicle,No,No,No,100,Driver,Female,71
2.2016E+12,VIC,10-Feb-16,10,February,2016,Wednesday,6:43,6,43,Single vehicle,No,No,No,100,Driver,Male,44
2.2016E+12,VIC,10-Feb-16,10,February,2016,Wednesday,8:25,8,25,Multiple vehicle,No,No,No,100,Driver,Male,32
2.2016E+12,VIC,10-Feb-16,10,February,2016,Wednesday,23:38,23,38,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,55
3.2016E+12,QLD,10-Feb-16,10,February,2016,Wednesday,7:00,7,0,Multiple vehicle,No,No,Yes,60,Bicyclist (includes pillion passengers),Male,61
5.2016E+12,WA,11-Feb-16,11,February,2016,Thursday,0:45,0,45,Single vehicle,No,No,No,70,Motorcycle rider,Male,34
1.2016E+12,NSW,12-Feb-16,12,February,2016,Friday,22:00,22,0,Single vehicle,No,No,No,100,Driver,Male,18
2.2016E+12,VIC,12-Feb-16,12,February,2016,Friday,10:30,10,30,Pedestrian,No,No,No,-9,Pedestrian,Female,65
2.2016E+12,VIC,12-Feb-16,12,February,2016,Friday,14:20,14,20,Single vehicle,No,No,No,100,Driver,Male,81
2.2016E+12,VIC,12-Feb-16,12,February,2016,Friday,22:27,22,27,Pedestrian,No,No,No,60,Pedestrian,Male,83
3.2016E+12,QLD,12-Feb-16,12,February,2016,Friday,15:00,15,0,Single vehicle,No,No,No,100,Driver,Male,17
3.2016E+12,QLD,12-Feb-16,12,February,2016,Friday,4:00,4,0,Single vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Male,46
1.2016E+12,NSW,13-Feb-16,13,February,2016,Saturday,2:50,2,50,Single vehicle,No,No,No,100,Passenger,Female,22
1.2016E+12,NSW,13-Feb-16,13,February,2016,Saturday,9:25,9,25,Single vehicle,No,No,No,80,Motorcycle rider,Male,60
1.2016E+12,NSW,13-Feb-16,13,February,2016,Saturday,11:01,11,1,Multiple vehicle,No,No,No,100,Passenger,Female,65
2.2016E+12,VIC,13-Feb-16,13,February,2016,Saturday,23:45,23,45,Pedestrian,No,No,No,100,Pedestrian,Female,22
4.2016E+12,SA,13-Feb-16,13,February,2016,Saturday,5:45,5,45,Single vehicle,No,No,No,110,Driver,Female,27
2.2016E+12,VIC,15-Feb-16,15,February,2016,Monday,1:05,1,5,Multiple vehicle,No,No,Yes,60,Driver,Male,25
2.2016E+12,VIC,15-Feb-16,15,February,2016,Monday,5:45,5,45,Pedestrian,No,No,No,60,Pedestrian,Male,59
2.2016E+12,VIC,16-Feb-16,16,February,2016,Tuesday,8:09,8,9,Pedestrian,No,Yes,No,50,Pedestrian,Female,17
3.2016E+12,QLD,16-Feb-16,16,February,2016,Tuesday,6:00,6,0,Multiple vehicle,No,No,No,100,Bicyclist (includes pillion passengers),Male,63
3.2016E+12,QLD,16-Feb-16,16,February,2016,Tuesday,13:00,13,0,Single vehicle,Yes,No,No,100,Passenger,Male,19
3.2016E+12,QLD,16-Feb-16,16,February,2016,Tuesday,13:00,13,0,Multiple vehicle,No,No,No,100,Driver,Female,-9
3.2016E+12,QLD,16-Feb-16,16,February,2016,Tuesday,18:00,18,0,Single vehicle,No,Yes,No,60,Driver,Male,36
5.2016E+12,WA,16-Feb-16,16,February,2016,Tuesday,12:00,12,0,Multiple vehicle,No,No,No,110,Driver,Male,22
